japanese,english,tags
　　世界的研究教育拠点の形成のための重点的支援,Targeted Support for Creating World-level Research and Education Bases,参考用語
　　グローバルCOEプログラム,Global COE Program,参考用語
特別研究員制度,Research Fellowships for Young Scientists,参考用語
海外特別研究員制度,Postdoctoral Fellowships for Research Abroad,参考用語
　　外国人特別研究員制度（日本学術振興会）,JSPS Postdoctoral Fellowships for Foreign Researcher,参考用語
　　外国人特別研究員制度（欧米・短期）（日本,JSPS Postdoctoral Fellowship Program (Short-term) for North American,参考用語
学術振興会）,and European Researchers,参考用語
　　サマー・プログラム（日本学術振興会）,JSPS Summer Program,参考用語
　　外国人招へい研究者（日本学術振興会）,JSPS Invitation Fellowships for Research in Japan,参考用語
　　外国人著名研究者（日本学術振興会）,JSPS Award for Eminent Scientists,参考用語
　　国際研究集会（日本学術振興会）,JSPS International Scientific Meetings in Japan,参考用語
　　研究者国際交流センター（日本学術振興会）,JSPS Fellows Plaza,参考用語
　　学術システム研究センター,Research Center for Science System,参考用語
　　国際生物学賞,International Prize for Biology,参考用語
　　海外研究連絡センター,Overseas Liaison Office,参考用語
　産学連携等研究費,Research Fund for Co-operation between Industry and Academia,参考用語
　　教育基本法,Fundamental Law of Education,参考用語
学校教育法,School Education Law,参考用語
国立学校設置法,National School Establishment Law,参考用語
大学設置基準,Standards for the Establishment of Universities,参考用語
大学院設置基準,Standards for the Establishment of Graduate Schools,参考用語
国家公務員法,National Public Service Personnel Law,参考用語
教育公務員特例法,Law for Special Regulations Concerning Educational Public Service Personnel,参考用語
一般職の職員の給与等に関する法律,"Law Concerning Remuneration, Working Hours and Leaves of National Public Employees in Regular Service",参考用語
　労働基準法,Labor Standards Law,参考用語
　　大学教員等の給与等に関する法律,Law Concerning Term of Office for University Teachers,参考用語
　　国連児童基金,United Nations Children’s Fund (UNICEF),参考用語
　　国連教育科学文化機関,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",参考用語
　　世界知的所有権機関,World Intellectual Property Organization (WIPO),参考用語
　　経済協力開発機構,Organization for Economic Cooperation and Development (OECD),参考用語
東南アジア文部大臣機構,Southeast Asian Ministers of Education Organization (SEAMEO),参考用語
　　アジア・太平洋経済協力会議,Asia-Pacific Economic Cooperation Conference (APEC),参考用語
　　国際ﾋｭｰﾏﾝ･ﾌﾛﾝﾃｨｱ･ｻｲｴﾝｽﾌﾟﾛｸﾞﾗﾑ推進機構,The International Human Frontier Science Program Organization (HFSPO),参考用語
　　国際科学技術センター,International Science and Technology Center (ISTC),参考用語
　　日米教育委員会,The Japan-United States Educational Commission (JUSEC),参考用語
　　環太平洋大学協会,Association of Pacific Rim Universities (APRU),参考用語
　　アジア太平洋大学交流機構,University Mobility in Asia and the Pacific (UMAP),参考用語
東アジア研究型大学協会,Association of East Asian Research Universities (AEARU),参考用語
　  拠点大学方式による東南アジア諸国との学術交流,The Core University Systems and the Southeast Asian Academic Exchange Program,参考用語
　　総合科学技術会議,Council for Science and Technology Policy,参考用語
　　大学共同利用機関,Inter-University Research Institute,参考用語
　　全国共同利用・共同研究拠点,Joint Usage / Joint Research Center,参考用語
　　独立行政法人日本学生支援機構,Japan Student Services Organization (JASSO),参考用語
　　独立行政法人日本学術振興会,Japan Society for the Promotion of Science (JSPS),参考用語
　　日本学術会議,Science Council of Japan,参考用語
独立行政法人科学技術振興機構,Japan Science and Technology Agency (JST),参考用語
　　国際協力銀行,Japan Bank for International Cooperation (JBIC),参考用語
　　独立行政法人国際協力機構,Japan International Cooperation Agency (JICA),参考用語
　　独立行政法人国際交流基金,Japan Foundation,参考用語
　　政府開発援助,official development assistance (ODA),参考用語
国際連合大学,The United Nations University (UNU),参考用語
　　国際大学連合,International Association of Universities (IAU),参考用語
　　学校教育,school education,参考用語
　　通信教育,correspondence course,参考用語
　　職業教育,vocational education,参考用語
　　社会教育,social education,参考用語
　　リフレッシュ教育,refresh education/ refresh course,参考用語
　　特殊教育,special education,参考用語
生涯学習,lifelong learning,参考用語
　治験,Clinical Trials,参考用語
　一般管理費,General Management Expenses,参考用語
　科学技術振興調整費,Special Coordination Funds for Promoting Science and Technology,参考用語
　科学技術振興費,Science and Technology Promotion Expenditure,参考用語
　　非常勤研究員経費,Part-time Researcher Budget/Expenses,参考用語
　　ティーチング・アシスタント経費,Teaching Assistant Budget/Expenses,参考用語
　　法人化対応経費,Budget/Expenses Involved in Changing to National University Corporation Status,参考用語
　　教育研究等重点推進経費,Budget/Expenses for Promoting Priority Education and Research,参考用語
　　全学強化経費,Budget/Expenses for University Enhancement,参考用語
　　全学維持経費,Budget/Expenses for Maintaining University Education and Research,参考用語
　　間接経費,Indirect Research Budget/Expenses,参考用語
　　特別経費,Special Budget/Expenses,参考用語
　　法人本部等経費,Corporate Headquarters Budget/Expenses,参考用語
　　事務局運営経費,Budget/Expenses for Management of Administration Bureau,参考用語
　　非常勤職員手当,Allowance for Part-time Employees,参考用語
　　大学基盤推進経費,Budget/Expenses for Promoting University Infrastructure,参考用語
　　湯川記念室運営費,Budget/Expenses for Management of Osaka University Yukawa Memorial,参考用語
　　病院運営経費,Budget/Expenses for Management of University Hospital,参考用語
　　産学官連携推進活動経費,"Budget/Expenses for Promoting University, Industry, and Government Collaboration",参考用語
　　厚生労働科学研究費補助金,Health and Labor Sciences Research Grants,参考用語
　　産業技術研究助成事業費助成金,Grants for Industrial Technology Research,参考用語
　　環境技術開発等推進費補助金,Grants for Promoting the Development of Environmental Technology,参考用語
　　産学官連携ｲﾉﾍﾞｰｼｮﾝ創出事業費補助金,Grants for Industry-Academia-Government Cooperation to Create Innovation,参考用語
　　大学改革推進等補助金（大学改革推進経費）,Grants for Promoting University Reform ( Budget/Expenses for Promoting University Reform),参考用語
　　新興・再興感染症研究拠点形成委託費,Fund for Founding Research Centers for Emerging and Reemerging Infectious,参考用語
　　最先端学術情報基盤（CSI）構築推進事業委託費,Fund for Creation of a State-of-the-Art Academic-Information Infrastructure (CSI),参考用語
　　研究拠点形成費等補助金（若手研究者養成費）,Grants for Creating Research and Education Bases (for Fostering Young Researchers),参考用語
　　研究拠点形成費等補助金（研究拠点形成費）,Grants for Creating Research and Education Bases (for the Formation of Research Centers),参考用語
学生教育研究災害傷害保険,Personal Accident Insurance for Student Pursuing Education and Research,参考用語
